cuenta_id,anio,cantidad_movimientos,total_depositos,total_cargos,saldo_neto,primera_fecha,ultima_fecha,movimientos_con_anomalia
101,2024,44,38000.00,25100.00,12900.00,2024-01-07,2024-12-26,7
102,2024,51,24200.00,55200.00,-31000.00,2024-01-14,2024-12-28,3
103,2024,39,12200.00,61900.00,-49700.00,2024-01-17,2024-12-23,5
104,2024,51,17300.00,56500.00,-39200.00,2024-01-04,2024-11-17,5
105,2024,56,27100.00,53100.00,-26000.00,2024-01-04,2024-12-13,4
106,2024,58,30300.00,60800.00,-30500.00,2024-01-29,2024-12-16,6
107,2024,54,28900.00,58300.00,-29400.00,2024-01-02,2024-12-30,8
108,2024,51,18200.00,59600.00,-41400.00,2024-01-05,2024-12-22,6
109,2024,48,40100.00,43800.00,-3700.00,2024-01-21,2024-12-05,2
110,2024,46,18600.00,44400.00,-25800.00,2024-01-14,2024-12-24,3
111,2024,44,31600.00,49900.00,-18300.00,2024-01-18,2024-12-27,2
112,2024,47,30500.00,51400.00,-20900.00,2024-01-09,2024-12-27,4
113,2024,37,24600.00,37900.00,-13300.00,2024-01-11,2024-12-28,5
114,2024,55,25700.00,65000.00,-39300.00,2024-01-22,2024-12-29,7
115,2024,43,18600.00,38500.00,-19900.00,2024-01-05,2024-12-28,6
116,2024,55,40900.00,61200.00,-20300.00,2024-01-03,2024-12-24,5
117,2024,38,26700.00,42300.00,-15600.00,2024-01-11,2024-12-08,4
118,2024,50,33300.00,60300.00,-27000.00,2024-01-06,2024-12-28,6
119,2024,48,24600.00,56100.00,-31500.00,2024-01-29,2024-12-23,4
120,2024,37,20500.00,42200.00,-21700.00,2024-01-13,2024-12-28,1
